givenVideo,comparedVideo,distance
--DwgB78t-c,S1hbPjlc9Ro,4
--DwgB78t-c,12JZ5imHsUU,4
--DwgB78t-c,1qoYQF2mGFk,4
--DwgB78t-c,28igPKxVtTs,4
--DwgB78t-c,55K3lE0zCgU,4
--DwgB78t-c,1-i4gcB_v_8,4
--DwgB78t-c,6T2IqSiXkEQ,4
--DwgB78t-c,3ChEjXQs0v0,4
--DwgB78t-c,1-jPwoZelpM,4
--DwgB78t-c,0xALwBpQnks,4
--DwgB78t-c,T9oZXpFsIys,4
--DwgB78t-c,S5WcfezKQAM,4
--DwgB78t-c,53HZnZtVB5w,4
--DwgB78t-c,V_kz30cCQck,4
--DwgB78t-c,1-sH0N7GA7w,4
--DwgB78t-c,ZUAbGWhk7os,4
--DwgB78t-c,11Sq59mtz78,4
--DwgB78t-c,5iEFTjTk3yc,4
--DwgB78t-c,8HB6dUs60LY,4
--DwgB78t-c,1mzfhbEA8Ks,4
--DwgB78t-c,2XoV-j7VRyU,4
--DwgB78t-c,1m3RZqTnssg,4
--DwgB78t-c,77qem0uIMBg,4
--DwgB78t-c,2X9l8YYI-x8,4
--DwgB78t-c,0-beM-u7dKc,4
--DwgB78t-c,8_W7SEOhzDs,4
--DwgB78t-c,8_fcvmAsDaE,4
--DwgB78t-c,2_4uNCCT8sQ,4
--DwgB78t-c,715WsGgedzQ,4
--DwgB78t-c,RSM6G7dLXP0,4
--DwgB78t-c,43clmWT2438,4
--DwgB78t-c,4YR4QfSKi9I,4
--DwgB78t-c,17FRnMKdSos,4
--DwgB78t-c,-KM7R9tww9U,4
--DwgB78t-c,vhhL6-y-pdE,4
--DwgB78t-c,0OC4s_dRbs0,4
--DwgB78t-c,815gCgmNlpg,4
--DwgB78t-c,2BV1T0lOb3c,4
--DwgB78t-c,ZnzZtZP6Oxc,4
--DwgB78t-c,0OxAUYNidec,4
--DwgB78t-c,ZnzZtZP6Oxc,4
--DwgB78t-c,SKNinvK4Pno,4
--DwgB78t-c,-TNWrhAdgDI,4
--DwgB78t-c,13BGgL2Xd7Q,4
--DwgB78t-c,2_mr9DZCKyY,4
--DwgB78t-c,SQgdVflBRSY,4
--DwgB78t-c,2sU13kfhbjw,4
--DwgB78t-c,00PBXuo2_nM,4
--DwgB78t-c,STYHz5FUpYo,4
--DwgB78t-c,SdjWsXC2R7U,4
--DwgB78t-c,3UYDCdK3mM4,4
--DwgB78t-c,Sd_wzjLAvfg,4
--DwgB78t-c,R7vEdmZR-7Y,4
--DwgB78t-c,3U8bp9EyvCA,4
--DwgB78t-c,R8EqAFGOhV0,4
--DwgB78t-c,R8CkyGurkIg,4
--DwgB78t-c,4LEJnG42t8o,4
--DwgB78t-c,Vci4M7PUqQQ,4
--DwgB78t-c,5ZbZoPiS3BU,4
--DwgB78t-c,0NhG0_lkGpg,4
--DwgB78t-c,VckXhfJ_kSM,4
--DwgB78t-c,SQoBuOPbGYU,4
--DwgB78t-c,3nlLX3GctE4,4
--DwgB78t-c,-08D6ifyw8M,4
--DwgB78t-c,39Q8_HoM1Sc,4
--DwgB78t-c,vhv38IGnH3g,4
--DwgB78t-c,vhHCa9vSBGU,4
--DwgB78t-c,-0gKVQloRKY,4
--DwgB78t-c,7mcKoTNRoR0,4
--DwgB78t-c,sBgNlnsuLEo,4
--DwgB78t-c,2WV7IwGYWyU,4
--DwgB78t-c,vMZg0h9LtIk,4
--DwgB78t-c,0PforZdhQdg,4
--DwgB78t-c,14CZmjFsSN8,4
--DwgB78t-c,-UuizK24KEQ,4
--DwgB78t-c,RPVAgNfT4t0,4
--DwgB78t-c,-QddKi_Yqzk,4
--DwgB78t-c,5OSHiXTKYKM,4
--DwgB78t-c,VLOJBL-EZ5U,4
--DwgB78t-c,YFvkUetY1bE,4
--DwgB78t-c,5OqJ7o7RJug,4
--DwgB78t-c,6-KXr202meM,4
--DwgB78t-c,RPyCmYcg0xA,4
--DwgB78t-c,3eIfv6RSK5o,4
--DwgB78t-c,0PUx-XyVEjM,4
--DwgB78t-c,2BrjCSL3_PY,4
--DwgB78t-c,-eYcIidunCs,4
--DwgB78t-c,6-OnqdAh8II,4
--DwgB78t-c,-frTi8L2AYU,4
--DwgB78t-c,17N-IoFjwCE,4
--DwgB78t-c,SdwxrJFOZW8,4
--DwgB78t-c,8A_GDsttu7I,4
--DwgB78t-c,2WCpncUiv3k,4
--DwgB78t-c,W1ohg4LVArM,4
--DwgB78t-c,36rcQIsCS2s,4
--DwgB78t-c,5LSXx81NmRc,4
--DwgB78t-c,3m9il1Rf8lo,4
--DwgB78t-c,3fJw2US9O58,4
--DwgB78t-c,2IXhden-JIc,4
--DwgB78t-c,RQB4TkTU1vw,4
--DwgB78t-c,Vn0Qwelzg2Y,4
--DwgB78t-c,VzKgFwNmKXg,4
--DwgB78t-c,RFV3DOKLJNI,4
--DwgB78t-c,RFyFZJo8oO4,4
--DwgB78t-c,72bCcl2knds,4
--DwgB78t-c,YFvkUetY1bE,4
--DwgB78t-c,-C9RGrxD9jo,4
--DwgB78t-c,7rFXCCKE2bQ,4
--DwgB78t-c,WTmKpHxVhOE,4
--DwgB78t-c,6hTySlI9EKY,4
--DwgB78t-c,5-G6SeQX7tM,4
--DwgB78t-c,4fFOkykaeP8,4
--DwgB78t-c,SzR5-gbJPfk,4
--DwgB78t-c,431b5AeLd74,4
--DwgB78t-c,wybCtrY9lo4,4
--DwgB78t-c,7jsbbzfLtBE,4
--DwgB78t-c,2q33cO-qqMk,4
--DwgB78t-c,V4loGWVnH88,4
--DwgB78t-c,6kpv4vYxVHE,4
--DwgB78t-c,-d0djstxrbw,4
--DwgB78t-c,VFhaPI5zjCo,4
--DwgB78t-c,50otEtOA0tU,4
--DwgB78t-c,3Q20f7Ybb5I,4
--DwgB78t-c,35wSHuuNC5E,4
--DwgB78t-c,Z6uydCEDqZE,4
--DwgB78t-c,-dh0_P_YGS0,4
--DwgB78t-c,505ZvXN4mwg,4
--DwgB78t-c,5yeyHqDs6UE,4
--DwgB78t-c,4z81UIzKHOA,4
--DwgB78t-c,1gRWmEyPRHA,4
--DwgB78t-c,wv8sHMesRW4,4
--DwgB78t-c,6gAbEUlAX2w,4
--DwgB78t-c,2M1FaepFSBA,4
--DwgB78t-c,WTKkdmD5F0c,4
--DwgB78t-c,-6cnRvYuM7s,4
--DwgB78t-c,13gFBtxAcYM,4
--DwgB78t-c,xHNHO362vTw,4
--DwgB78t-c,V9aHWmhQq0o,4
--DwgB78t-c,3ROwxs0fZa4,4
--DwgB78t-c,8ruSQhyp-N0,4
--DwgB78t-c,0Mrl5TzVU_A,4
--DwgB78t-c,1hoRnGpZdoU,4
--DwgB78t-c,3ONSJPWWXPA,4
--DwgB78t-c,5y6upLWak9g,4
--DwgB78t-c,3sKbvL5QCog,4
--DwgB78t-c,SzQrVkllZ74,4
--DwgB78t-c,0WWp81g0pQY,4
